LOCATION,TIME,CO,CO2,GHG,NOX,SOX,VOC
ARG,1981,0.0,94.626228,0.0,0.0,0.0,0.0
ARG,1982,0.0,94.019249,0.0,0.0,0.0,0.0
ARG,1983,0.0,97.409216,0.0,0.0,0.0,0.0
ARG,1984,0.0,96.78064,0.0,0.0,0.0,0.0
ARG,1985,0.0,89.98727099999999,0.0,0.0,0.0,0.0
ARG,1986,0.0,96.35549400000001,0.0,0.0,0.0,0.0
ARG,1987,0.0,102.037665,0.0,0.0,0.0,0.0
ARG,1988,0.0,106.285818,0.0,0.0,0.0,0.0
ARG,1989,0.0,103.408574,0.0,0.0,0.0,0.0
ARG,1990,0.0,101.14189,220247.53,0.0,0.0,0.0
ARG,1991,0.0,106.629369,230420.736,0.0,0.0,0.0
ARG,1992,0.0,108.768681,234129.374,0.0,0.0,0.0
ARG,1993,0.0,112.267422,239567.203,0.0,0.0,0.0
ARG,1994,0.0,115.110872,243605.781,0.0,0.0,0.0
ARG,1995,0.0,115.843269,244506.4,0.0,0.0,0.0
ARG,1996,0.0,126.08143600000001,256471.217,0.0,0.0,0.0
ARG,1997,0.0,129.032098,258310.875,0.0,0.0,0.0
ARG,1998,0.0,136.23466200000001,262732.357,0.0,0.0,0.0
ARG,1999,0.0,137.99828200000002,264645.11100000003,0.0,0.0,0.0
ARG,2000,0.0,136.500575,280316.61,0.0,0.0,0.0
ARG,2001,0.0,129.749301,276910.05199999997,0.0,0.0,0.0
ARG,2002,0.0,122.555336,269322.815,0.0,0.0,0.0
ARG,2003,0.0,131.659073,286389.181,0.0,0.0,0.0
ARG,2004,0.0,145.388798,298175.14,0.0,0.0,0.0
ARG,2005,0.0,149.956614,307500.609,0.0,0.0,0.0
ARG,2006,0.0,158.74023699999998,321470.24600000004,0.0,0.0,0.0
ARG,2007,0.0,166.843759,335862.626,0.0,0.0,0.0
ARG,2008,0.0,171.479161,331810.47699999996,0.0,0.0,0.0
ARG,2009,0.0,160.63025199999998,322562.222,0.0,0.0,0.0
ARG,2010,0.0,171.372523,300702.562,0.0,0.0,0.0
ARG,2011,0.0,180.31932999999998,310322.05100000004,0.0,0.0,0.0
ARG,2012,0.0,181.67438199999998,310677.684,0.0,0.0,0.0
ARG,2013,0.0,186.456004,321019.49600000004,0.0,0.0,0.0
ARG,2014,0.0,182.79959200000002,322562.169,0.0,0.0,0.0
ARG,2015,0.0,188.744063,0.0,0.0,0.0,0.0
ARG,2016,0.0,186.931086,0.0,0.0,0.0,0.0
ARG,2017,0.0,182.911156,0.0,0.0,0.0,0.0
ARG,2018,0.0,180.022444,0.0,0.0,0.0,0.0
ARG,2019,0.0,170.984127,0.0,0.0,0.0,0.0
ARG,2020,0.0,157.34406199999998,0.0,0.0,0.0,0.0
ARG,2021,0.0,174.377394,0.0,0.0,0.0,0.0
ARM,1960,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1961,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1962,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1963,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1964,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1965,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1966,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1967,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1968,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1969,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1970,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1971,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1972,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1973,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1974,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1975,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1976,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1977,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1978,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1979,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1980,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1981,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1982,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1983,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1984,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1985,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1986,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1987,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1988,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1989,0.0,0.0,0.0,0.0,0.0,0.0
ARM,1990,0.0,26.265219000000002,0.0,0.0,0.0,0.0
ARM,1991,0.0,27.27956,0.0,0.0,0.0,0.0
ARM,1992,0.0,14.536529000000002,0.0,0.0,0.0,0.0
ARM,1993,0.0,7.918989,0.0,0.0,0.0,0.0
ARM,1994,0.0,6.475925999999999,0.0,0.0,0.0,0.0
ARM,1995,0.0,6.948027,0.0,0.0,0.0,0.0
ARM,1996,0.0,6.913509,0.0,0.0,0.0,0.0
ARM,1997,0.0,7.11662,0.0,0.0,0.0,0.0
ARM,1998,0.0,7.393226,0.0,0.0,0.0,0.0
ARM,1999,0.0,7.401684,0.0,0.0,0.0,0.0
ARM,2000,0.0,7.742249,0.0,0.0,0.0,0.0
ARM,2001,0.0,8.058504,0.0,0.0,0.0,0.0
ARM,2002,0.0,8.537291,0.0,0.0,0.0,0.0
ARM,2003,0.0,9.095246,0.0,0.0,0.0,0.0
ARM,2004,0.0,9.565509,0.0,0.0,0.0,0.0
ARM,2005,0.0,10.239844999999999,0.0,0.0,0.0,0.0
ARM,2006,0.0,10.861023999999999,0.0,0.0,0.0,0.0
ARM,2007,0.0,11.667638,0.0,0.0,0.0,0.0
ARM,2008,0.0,12.16332,0.0,0.0,0.0,0.0
ARM,2009,0.0,11.139475,0.0,0.0,0.0,0.0
ARM,2010,0.0,11.268253,0.0,0.0,0.0,0.0
ARM,2011,0.0,11.562815,0.0,0.0,0.0,0.0
ARM,2012,0.0,12.188573,0.0,0.0,0.0,0.0
ARM,2013,0.0,12.252694,0.0,0.0,0.0,0.0
ARM,2014,0.0,12.43536,0.0,0.0,0.0,0.0
ARM,2015,0.0,12.562732,0.0,0.0,0.0,0.0
ARM,2016,0.0,12.532582999999999,0.0,0.0,0.0,0.0
ARM,2017,0.0,12.995799,0.0,0.0,0.0,0.0
ARM,2018,0.0,13.347059999999999,0.0,0.0,0.0,0.0
ARM,2019,0.0,13.904471000000001,0.0,0.0,0.0,0.0
ARM,2020,0.0,13.683916,0.0,0.0,0.0,0.0
ARM,2021,0.0,11.9483079,0.0,0.0,0.0,0.0
AUS,1960,0.0,96.962975,0.0,0.0,0.0,0.0
AUS,1961,0.0,100.520271,0.0,0.0,0.0,0.0
AUS,1962,0.0,103.77370300000001,0.0,0.0,0.0,0.0
AUS,1963,0.0,109.74864099999999,0.0,0.0,0.0,0.0
AUS,1964,0.0,115.38825,0.0,0.0,0.0,0.0
AUS,1965,0.0,121.696478,0.0,0.0,0.0,0.0
AUS,1966,0.0,126.582786,0.0,0.0,0.0,0.0
AUS,1967,0.0,133.551719,0.0,0.0,0.0,0.0
AUS,1968,0.0,140.900857,0.0,0.0,0.0,0.0
AUS,1969,0.0,147.437256,0.0,0.0,0.0,0.0
AUS,1970,0.0,152.82672,0.0,0.0,0.0,0.0
AUS,1971,0.0,154.224803,0.0,0.0,0.0,0.0
AUS,1972,0.0,159.49204699999999,0.0,0.0,0.0,0.0
AUS,1973,0.0,169.324249,0.0,0.0,0.0,0.0
AUS,1974,0.0,185.029574,0.0,0.0,0.0,0.0
AUS,1975,0.0,192.317397,0.0,0.0,0.0,0.0
AUS,1976,0.0,194.776685,0.0,0.0,0.0,0.0
