0,1,2,3,4,5
Gangbuk-gu,2023-01-06,95355,Yangcheon-gu,2023-04-16,1441.0
Yangcheon-gu,2023-01-06,106821,Yongsan-gu,2023-04-16,340.0
Eunpyeong-gu,2023-01-06,5133,Seodaemun-gu,2023-04-16,1818.0
Jungnang-gu,2023-01-06,47195,Gangseo-gu,2023-04-16,3765.0
Gangdong-gu,2023-01-06,103608,Eunpyeong-gu,2023-04-16,1548.0
Nowon-gu,2023-01-06,53339,Songpa-gu,2023-04-16,1857.0
Gangseo-gu,2023-01-06,60419,Mapo-gu,2023-04-16,1487.0
Seoul_Grand_Park,2023-01-06,5982,Seongdong-gu,2023-04-16,2568.0
Yongsan-gu,2023-01-06,607,Gangdong-gu,2023-04-16,3609.0
Guro-gu,2023-01-06,134780,Gwanak-gu,2023-04-16,2199.0
Dongjak-gu,2023-01-06,159813,Jongno-gu,2023-04-16,3892.0
Geumcheon-gu,2023-01-06,107496,Seocho-gu,2023-04-16,11855.0
Seocho-gu,2023-01-06,65153,Jung-gu,2023-04-16,26056.0
Seongdong-gu,2023-01-06,2906,Gangseo-gu,2023-04-17,5135.0
Gwanak-gu,2023-01-06,32621,Eunpyeong-gu,2023-04-17,1899.0
Seocho-gu,2023-01-07,62632,Yongsan-gu,2023-04-17,159.0
Mapo-gu,2023-01-07,110153,Gwangjin-gu,2023-04-17,6473.0
Jongno-gu,2023-01-07,12562,Songpa-gu,2023-04-17,1597.0
Eunpyeong-gu,2023-01-07,4627,Jung-gu,2023-04-17,20037.0
Yangcheon-gu,2023-01-07,102427,Mapo-gu,2023-04-17,1093.0
Gangdong-gu,2023-01-07,101977,Gwanak-gu,2023-04-17,1832.0
Dongjak-gu,2023-01-07,157122,Seocho-gu,2023-04-17,18709.0
Seoul_Grand_Park,2023-01-07,9056,Gangbuk-gu,2023-04-17,1884.0
Gangseo-gu,2023-01-07,53639,Seodaemun-gu,2023-04-17,2613.0
Dobong-gu,2023-01-07,119201,Jongno-gu,2023-04-17,2288.0
Yongsan-gu,2023-01-07,685,Seongdong-gu,2023-04-17,1365.0
Nowon-gu,2023-01-07,51884,Yangcheon-gu,2023-04-17,2019.0
Seodaemun-gu,2023-01-07,5214,Gangdong-gu,2023-04-17,4287.0
Gwangjin-gu,2023-01-07,79547,Gangnam-gu,2023-04-17,16744.0
Gangnam-gu,2023-01-07,121774,Seoul_Grand_Park,2023-04-17,3578.0
Jungnang-gu,2023-01-07,45357,Yangcheon-gu,2023-04-18,2050.0
Guro-gu,2023-01-07,129430,Songpa-gu,2023-04-18,1246.0
Geumcheon-gu,2023-01-07,95046,Gangseo-gu,2023-04-18,5923.0
Songpa-gu,2023-01-07,27836,Seoul_Grand_Park,2023-04-18,2551.0
Seongdong-gu,2023-01-07,4666,Gwanak-gu,2023-04-18,1261.0
