자치구,측정날짜,방문자수,SIG_CD
Gangbuk-gu,2023-01-18,95715.0,11305
Nowon-gu,2023-01-18,55884.0,11350
Gwanak-gu,2023-01-18,32539.0,11620
Songpa-gu,2023-01-19,26723.0,11710
Gangnam-gu,2023-01-19,125453.0,11680
Jongno-gu,2023-01-19,8424.0,11110
Seongdong-gu,2023-01-19,2488.0,11200
Eunpyeong-gu,2023-01-19,4994.0,11380
Seodaemun-gu,2023-01-19,7176.0,11410
Dobong-gu,2023-01-19,122766.0,11320
Gwangjin-gu,2023-01-19,85717.0,11215
Gangdong-gu,2023-01-19,107435.0,11740
Gangseo-gu,2023-01-19,57939.0,11500
Yangcheon-gu,2023-01-19,113754.0,11470
Nowon-gu,2023-01-19,55942.0,11350
Geumcheon-gu,2023-01-19,106849.0,11545
Mapo-gu,2023-01-19,109944.0,11440
Jung-gu,2023-01-19,53081.0,11140
Gwanak-gu,2023-01-19,32071.0,11620
Yongsan-gu,2023-01-19,524.0,11170
Seocho-gu,2023-01-19,42006.0,11650
Gangbuk-gu,2023-01-19,99354.0,11305
Guro-gu,2023-01-19,138582.0,11530
Dongjak-gu,2023-01-19,147385.0,11590
Jungnang-gu,2023-01-19,48314.0,11260
Songpa-gu,2023-01-20,26185.0,11710
Dongjak-gu,2023-01-20,130174.0,11590
Guro-gu,2023-01-20,149662.0,11530
Dobong-gu,2023-01-20,127544.0,11320
Yangcheon-gu,2023-01-20,116799.0,11470
Seodaemun-gu,2023-01-20,7325.0,11410
Gwangjin-gu,2023-01-20,91772.0,11215
Geumcheon-gu,2023-01-20,103625.0,11545
Gangseo-gu,2023-01-20,58121.0,11500
Mapo-gu,2023-01-20,109711.0,11440
Gangdong-gu,2023-01-20,113343.0,11740
Nowon-gu,2023-01-20,56276.0,11350
Jungnang-gu,2023-01-20,51117.0,11260
Jung-gu,2023-01-20,54451.0,11140
Seocho-gu,2023-01-20,42466.0,11650
Eunpyeong-gu,2023-01-20,4549.0,11380
Gangbuk-gu,2023-01-20,101224.0,11305
Jongno-gu,2023-01-20,4299.0,11110
Yongsan-gu,2023-01-20,486.0,11170
Gangnam-gu,2023-01-20,126726.0,11680
Seongdong-gu,2023-01-20,2607.0,11200
Gwanak-gu,2023-01-20,33325.0,11620
Jung-gu,2023-01-21,63474.0,11140
Guro-gu,2023-01-21,139864.0,11530
Yongsan-gu,2023-01-21,453.0,11170
Gangseo-gu,2023-01-21,46295.0,11500
Seocho-gu,2023-01-21,22604.0,11650
Geumcheon-gu,2023-01-21,79952.0,11545
Seongdong-gu,2023-01-21,3005.0,11200
Gwangjin-gu,2023-01-21,90763.0,11215
Gangbuk-gu,2023-01-21,101218.0,11305
Jongno-gu,2023-01-21,5548.0,11110
Gwanak-gu,2023-01-21,31097.0,11620
Dobong-gu,2023-01-21,128716.0,11320
Gangnam-gu,2023-01-21,89943.0,11680
Yangcheon-gu,2023-01-21,109878.0,11470
Jungnang-gu,2023-01-21,54468.0,11260
Gangdong-gu,2023-01-21,106689.0,11740
Nowon-gu,2023-01-21,56344.0,11350
Eunpyeong-gu,2023-01-21,3310.0,11380
Dongjak-gu,2023-01-21,133172.0,11590
Songpa-gu,2023-01-21,21002.0,11710
