"long","lat","order","hole","piece","id","group"
127.01822062,37.5776121,159,FALSE,"1",11110,"11110.1"
127.01841795,37.57767074,160,FALSE,"1",11110,"11110.1"
127.01873543,37.577544,161,FALSE,"1",11110,"11110.1"
127.01875647,37.577524,162,FALSE,"1",11110,"11110.1"
127.0187724,37.57751809,163,FALSE,"1",11110,"11110.1"
127.01891411,37.57765716,164,FALSE,"1",11110,"11110.1"
127.0189364,37.5776656,165,FALSE,"1",11110,"11110.1"
127.01896098,37.57767739,166,FALSE,"1",11110,"11110.1"
127.01898629,37.57768952,167,FALSE,"1",11110,"11110.1"
127.01902167,37.57770613,168,FALSE,"1",11110,"11110.1"
127.01906761,37.57771934,169,FALSE,"1",11110,"11110.1"
127.01911365,37.57773258,170,FALSE,"1",11110,"11110.1"
127.01912675,37.5777354,171,FALSE,"1",11110,"11110.1"
127.01918743,37.57776185,172,FALSE,"1",11110,"11110.1"
127.01918726,37.57781423,173,FALSE,"1",11110,"11110.1"
127.01938817,37.57787408,174,FALSE,"1",11110,"11110.1"
127.01950179,37.57790794,175,FALSE,"1",11110,"11110.1"
127.01946228,37.57796011,176,FALSE,"1",11110,"11110.1"
127.01937128,37.57808027,177,FALSE,"1",11110,"11110.1"
127.01941515,37.57809885,178,FALSE,"1",11110,"11110.1"
127.01952252,37.57814329,179,FALSE,"1",11110,"11110.1"
127.01953262,37.57814501,180,FALSE,"1",11110,"11110.1"
127.01998567,37.57831921,181,FALSE,"1",11110,"11110.1"
127.01999309,37.57832203,182,FALSE,"1",11110,"11110.1"
127.01999911,37.57832429,183,FALSE,"1",11110,"11110.1"
127.02001043,37.57832879,184,FALSE,"1",11110,"11110.1"
127.02002133,37.57833297,185,FALSE,"1",11110,"11110.1"
127.02005211,37.57834492,186,FALSE,"1",11110,"11110.1"
127.02005838,37.57834737,187,FALSE,"1",11110,"11110.1"
127.02009994,37.57836341,188,FALSE,"1",11110,"11110.1"
127.02011109,37.57836762,189,FALSE,"1",11110,"11110.1"
127.02011657,37.57836988,190,FALSE,"1",11110,"11110.1"
127.02012259,37.57837214,191,FALSE,"1",11110,"11110.1"
127.02012814,37.57837447,192,FALSE,"1",11110,"11110.1"
127.02014824,37.57838226,193,FALSE,"1",11110,"11110.1"
127.02027472,37.57843151,194,FALSE,"1",11110,"11110.1"
127.02028999,37.57843749,195,FALSE,"1",11110,"11110.1"
127.02029702,37.57844024,196,FALSE,"1",11110,"11110.1"
127.02035947,37.57846473,197,FALSE,"1",11110,"11110.1"
127.0203646,37.5784667,198,FALSE,"1",11110,"11110.1"
127.02038949,37.57847652,199,FALSE,"1",11110,"11110.1"
127.02040103,37.57848105,200,FALSE,"1",11110,"11110.1"
127.02045959,37.57850385,201,FALSE,"1",11110,"11110.1"
127.02049144,37.57851679,202,FALSE,"1",11110,"11110.1"
127.02049993,37.57852017,203,FALSE,"1",11110,"11110.1"
127.02053389,37.57853481,204,FALSE,"1",11110,"11110.1"
127.02054067,37.57853766,205,FALSE,"1",11110,"11110.1"
127.02070885,37.57860854,206,FALSE,"1",11110,"11110.1"
127.02072973,37.57861784,207,FALSE,"1",11110,"11110.1"
127.02073681,37.57862009,208,FALSE,"1",11110,"11110.1"
127.02074122,37.5786229,209,FALSE,"1",11110,"11110.1"
127.02078015,37.57864598,210,FALSE,"1",11110,"11110.1"
127.02089778,37.57869327,211,FALSE,"1",11110,"11110.1"
127.02092396,37.5787023,212,FALSE,"1",11110,"11110.1"
127.02097687,37.57872056,213,FALSE,"1",11110,"11110.1"
127.02106319,37.57875406,214,FALSE,"1",11110,"11110.1"
127.02112492,37.57877429,215,FALSE,"1",11110,"11110.1"
127.02126238,37.57881934,216,FALSE,"1",11110,"11110.1"
127.02131267,37.57883187,217,FALSE,"1",11110,"11110.1"
127.02140584,37.57885507,218,FALSE,"1",11110,"11110.1"
127.02148015,37.57886436,219,FALSE,"1",11110,"11110.1"
127.02164358,37.57886264,220,FALSE,"1",11110,"11110.1"
127.02167604,37.57886171,221,FALSE,"1",11110,"11110.1"
127.02170338,37.57886094,222,FALSE,"1",11110,"11110.1"
127.02173221,37.57886206,223,FALSE,"1",11110,"11110.1"
127.0217927,37.57887134,224,FALSE,"1",11110,"11110.1"
127.02182507,37.57886205,225,FALSE,"1",11110,"11110.1"
127.02184577,37.57884008,226,FALSE,"1",11110,"11110.1"
127.02186771,37.57882188,227,FALSE,"1",11110,"11110.1"
127.0218845,37.57880798,228,FALSE,"1",11110,"11110.1"
127.02191704,37.57879446,229,FALSE,"1",11110,"11110.1"
127.02192783,37.5787891,230,FALSE,"1",11110,"11110.1"
127.02193557,37.57878072,231,FALSE,"1",11110,"11110.1"
127.02196125,37.57875165,232,FALSE,"1",11110,"11110.1"
127.02197201,37.57874661,233,FALSE,"1",11110,"11110.1"
127.02198053,37.57874264,234,FALSE,"1",11110,"11110.1"
127.02211335,37.57869644,235,FALSE,"1",11110,"11110.1"
127.02214466,37.57868179,236,FALSE,"1",11110,"11110.1"
127.0221544,37.57868179,237,FALSE,"1",11110,"11110.1"
127.02223667,37.57865516,238,FALSE,"1",11110,"11110.1"
127.02226405,37.57864629,239,FALSE,"1",11110,"11110.1"
127.02227212,37.57864458,240,FALSE,"1",11110,"11110.1"
127.02228527,37.57864178,241,FALSE,"1",11110,"11110.1"
127.02232684,37.57862855,242,FALSE,"1",11110,"11110.1"
127.02237105,37.57857757,243,FALSE,"1",11110,"11110.1"
127.02240255,37.5785455,244,FALSE,"1",11110,"11110.1"
127.02242887,37.57851872,245,FALSE,"1",11110,"11110.1"
127.02245275,37.5784976,246,FALSE,"1",11110,"11110.1"
127.02248971,37.57845902,247,FALSE,"1",11110,"11110.1"
127.02251305,37.57844127,248,FALSE,"1",11110,"11110.1"
127.02257029,37.57841268,249,FALSE,"1",11110,"11110.1"
