자치구,측정날짜,방문자수
Eunpyeong-gu,2023-05-03,2516
Jongno-gu,2023-05-03,3487
Gangnam-gu,2023-05-03,16983
Gangbuk-gu,2023-05-03,2317
Seodaemun-gu,2023-05-03,2969
Jung-gu,2023-05-03,27317
Gwangjin-gu,2023-05-03,6657
Gangseo-gu,2023-05-03,5502
Seongdong-gu,2023-05-03,1642
Mapo-gu,2023-05-03,1289
Yangcheon-gu,2023-05-03,2352
Gangnam-gu,2023-05-04,19223
Mapo-gu,2023-05-04,1379
Jongno-gu,2023-05-04,4321
Jung-gu,2023-05-04,37167
Seoul_Grand_Park,2023-05-04,13985
Songpa-gu,2023-05-04,255
Seodaemun-gu,2023-05-04,3032
Gwanak-gu,2023-05-04,2717
Eunpyeong-gu,2023-05-04,2675
Gangbuk-gu,2023-05-04,3270
Seongdong-gu,2023-05-04,2114
Gangseo-gu,2023-05-04,6216
Seocho-gu,2023-05-04,23486
Yongsan-gu,2023-05-04,172
Yangcheon-gu,2023-05-04,3001
Gwangjin-gu,2023-05-04,9347
Gangdong-gu,2023-05-04,5400
Gangnam-gu,2023-05-05,18587
Gwangjin-gu,2023-05-05,6204
Gangdong-gu,2023-05-05,3138
Gwanak-gu,2023-05-05,2623
Gangbuk-gu,2023-05-05,1757
Mapo-gu,2023-05-05,1191
Seoul_Grand_Park,2023-05-05,3362
Songpa-gu,2023-05-05,194
Yongsan-gu,2023-05-05,249
Seodaemun-gu,2023-05-05,2142
Eunpyeong-gu,2023-05-05,1666
Jongno-gu,2023-05-05,1737
Jung-gu,2023-05-05,30253
Seocho-gu,2023-05-05,19171
Yangcheon-gu,2023-05-05,1357
Gangseo-gu,2023-05-05,3603
Seongdong-gu,2023-05-05,1733
Gangbuk-gu,2023-05-06,2401
Seoul_Grand_Park,2023-05-06,3416
Gangdong-gu,2023-05-06,3762
Yangcheon-gu,2023-05-06,1672
Yongsan-gu,2023-05-06,190
Gangseo-gu,2023-05-06,4202
Eunpyeong-gu,2023-05-06,2620
Seocho-gu,2023-05-06,16974
Mapo-gu,2023-05-06,1375
Jung-gu,2023-05-06,31073
Seongdong-gu,2023-05-06,2642
Gwanak-gu,2023-05-06,2319
Gwangjin-gu,2023-05-06,6865
Seodaemun-gu,2023-05-06,2431
Songpa-gu,2023-05-06,8
Jongno-gu,2023-05-06,2753
Gangnam-gu,2023-05-06,18978
Seongdong-gu,2023-05-07,2662
Gwanak-gu,2023-05-07,2260
Seocho-gu,2023-05-07,13523
Yongsan-gu,2023-05-07,302
Gangseo-gu,2023-05-07,3501
Gangnam-gu,2023-05-07,13469
Gangdong-gu,2023-05-07,3788
Songpa-gu,2023-05-07,0
Mapo-gu,2023-05-07,1437
Jongno-gu,2023-05-07,3824
Seoul_Grand_Park,2023-05-07,10052
Yangcheon-gu,2023-05-07,1768
Jung-gu,2023-05-07,20153
Gangbuk-gu,2023-05-07,2109
Seodaemun-gu,2023-05-07,2297
Gwangjin-gu,2023-05-07,5507
Eunpyeong-gu,2023-05-07,1560
Jung-gu,2023-05-08,14781
Seodaemun-gu,2023-05-08,2388
Gangseo-gu,2023-05-08,5323
Gwangjin-gu,2023-05-08,5134
Yangcheon-gu,2023-05-08,1730
Gwanak-gu,2023-05-08,1312
Mapo-gu,2023-05-08,1141
Gangnam-gu,2023-05-08,14116
Songpa-gu,2023-05-08,90
Seongdong-gu,2023-05-08,1520
Eunpyeong-gu,2023-05-08,1760
Yongsan-gu,2023-05-08,145
Jongno-gu,2023-05-08,3285
Seocho-gu,2023-05-08,18095
Gangbuk-gu,2023-05-08,1755
Seoul_Grand_Park,2023-05-08,4273
Gangdong-gu,2023-05-08,5127
Gwanak-gu,2023-05-09,1863
Yangcheon-gu,2023-05-09,2959
Seoul_Grand_Park,2023-05-09,4292
