LOCATION,TIME,PM25
PRK,2015,47.968
PRK,2016,43.521
PRK,2017,43.514
PRK,2018,45.142
PRK,2019,45.183
COD,1990,40.225
COD,1995,40.027
COD,2000,39.75
COD,2005,36.256
COD,2010,35.726
COD,2011,36.868
COD,2012,38.952
COD,2013,38.17
COD,2014,36.745
COD,2015,40.429
COD,2016,38.143
COD,2017,35.846
COD,2018,36.823
COD,2019,36.273
DOM,1990,16.54
DOM,1995,16.246
DOM,2000,18.413
DOM,2005,17.881
DOM,2010,17.14
DOM,2011,16.544
DOM,2012,17.368
DOM,2013,17.234
DOM,2014,17.827
DOM,2015,18.628
DOM,2016,18.179
DOM,2017,18.153
DOM,2018,18.151
DOM,2019,18.145
ECU,1990,21.908
ECU,1995,19.098
ECU,2000,19.393
ECU,2005,20.331
ECU,2010,22.062
ECU,2011,20.294
ECU,2012,21.651
ECU,2013,20.755
ECU,2014,21.547
ECU,2015,21.736
ECU,2016,21.445
ECU,2017,19.899
ECU,2018,20.716
ECU,2019,20.606
EGY,1990,66.247
EGY,1995,74.226
EGY,2000,69.847
EGY,2005,69.681
EGY,2010,78.488
EGY,2011,69.739
EGY,2012,69.653
EGY,2013,74.715
EGY,2014,72.013
EGY,2015,73.106
EGY,2016,66.714
EGY,2017,66.953
EGY,2018,68.489
EGY,2019,67.915
SLV,1990,30.247
SLV,1995,28.991
SLV,2000,30.197
SLV,2005,24.876
SLV,2010,24.312
SLV,2011,28.711
SLV,2012,25.465
SLV,2013,26.966
SLV,2014,24.486
SLV,2015,25.614
SLV,2016,23.549
SLV,2017,23.152
SLV,2018,22.778
SLV,2019,22.349
GNQ,1990,49.627
GNQ,1995,41.802
GNQ,2000,49.185
GNQ,2005,42.169
GNQ,2010,41.573
GNQ,2011,43.113
GNQ,2012,41.348
GNQ,2013,40.72
GNQ,2014,40.67
GNQ,2015,50.104
GNQ,2016,48.368
GNQ,2017,44.578
GNQ,2018,46.603
GNQ,2019,47.034
ERI,1990,44.637
ERI,1995,41.173
ERI,2000,45.064
ERI,2005,42.513
ERI,2010,43.616
ERI,2011,43.96
ERI,2012,45.161
ERI,2013,45.487
ERI,2014,39.917
ERI,2015,43.648
ERI,2016,41.969
ERI,2017,44.349
ERI,2018,44.135
ERI,2019,44.779
EST,1990,8.029
EST,1995,7.527
EST,2000,8.499
EST,2005,8.375
EST,2010,8.65
EST,2011,7.788
EST,2012,7.524
EST,2013,7.587
EST,2014,8.177
EST,2015,6.617
EST,2016,6.57
EST,2017,5.726
EST,2018,6.042
EST,2019,5.95
ETH,1990,29.638
ETH,1995,27.005
ETH,2000,30.878
ETH,2005,31.51
ETH,2010,34.01
ETH,2011,34.917
ETH,2012,35.579
ETH,2013,35.381
ETH,2014,33.021
ETH,2015,34.448
ETH,2016,33.662
ETH,2017,33.971
ETH,2018,33.899
ETH,2019,33.833
FJI,1990,8.074
FJI,1995,8.14
FJI,2000,10.871
FJI,2005,10.957
FJI,2010,10.827
FJI,2011,10.879
FJI,2012,10.888
FJI,2013,11.021
FJI,2014,10.628
FJI,2015,10.505
FJI,2016,10.959
FJI,2017,10.936
FJI,2018,10.854
FJI,2019,10.859
GAB,1990,36.499
GAB,1995,34.933
GAB,2000,37.852
GAB,2005,35.147
GAB,2010,36.036
GAB,2011,36.739
GAB,2012,35.476
GAB,2013,37.691
GAB,2014,34.521
GAB,2015,40.574
GAB,2016,39.695
GAB,2017,35.768
GAB,2018,37.549
GAB,2019,37.438
GMB,1990,59.321
GMB,1995,59.042
GMB,2000,59.499
GMB,2005,55.453
GMB,2010,54.867
GMB,2011,56.98
GMB,2012,62.185
GMB,2013,51.639
GMB,2014,53.686
GMB,2015,61.846
GMB,2016,57.608
GMB,2017,61.527
GMB,2018,58.125
GMB,2019,58.214
GEO,1990,18.571
GEO,1995,18.79
GEO,2000,17.744
GEO,2005,16.843
GEO,2010,18.536
GEO,2011,20.59
GEO,2012,20.889
GEO,2013,20.258
GEO,2014,19.993
GEO,2015,19.021
GEO,2016,18.199
GEO,2017,18.501
GEO,2018,18.241
GEO,2019,18.247
GHA,1990,58.941
GHA,1995,49.608
GHA,2000,60.907
GHA,2005,53.33
GHA,2010,50.698
GHA,2011,54.18
GHA,2012,55.116
GHA,2013,48.308
GHA,2014,47.447
GHA,2015,61.115
GHA,2016,60.311
GHA,2017,56.464
GHA,2018,54.717
GHA,2019,54.476
GTM,1990,40.817
GTM,1995,38.694
GTM,2000,36.086
GTM,2005,29.361
GTM,2010,28.979
GTM,2011,32.653
GTM,2012,30.452
GTM,2013,32.355
GTM,2014,29.585
GTM,2015,31.114
GTM,2016,29.316
GTM,2017,27.991
GTM,2018,28.189
GTM,2019,27.814
GIN,1990,54.828
GIN,1995,50.35
GIN,2000,53.308
GIN,2005,51.161
GIN,2010,51.441
GIN,2011,52.395
GIN,2012,53.228
GIN,2013,46.339
GIN,2014,48.507
GIN,2015,56.59
GIN,2016,53.964
GIN,2017,53.821
GIN,2018,52.762
GIN,2019,52.823
GNB,1990,57.547
GNB,1995,55.296
GNB,2000,56.306
GNB,2005,52.503
GNB,2010,52.735
GNB,2011,53.882
GNB,2012,56.8
GNB,2013,47.537
GNB,2014,49.249
GNB,2015,57.455
GNB,2016,54.118
GNB,2017,57.434
GNB,2018,53.988
GNB,2019,54.018
HTI,1990,15.888
HTI,1995,15.327
HTI,2000,19.892
HTI,2005,18.878
HTI,2010,18.354
HTI,2011,18.028
HTI,2012,18.86
HTI,2013,19.031
HTI,2014,19.496
HTI,2015,20.221
HTI,2016,19.464
HTI,2017,19.429
HTI,2018,19.442
HTI,2019,19.322
HND,1990,27.926
HND,1995,26.436
HND,2000,27.585
HND,2005,25.546
HND,2010,24.111
HND,2011,28.747
HND,2012,25.562
HND,2013,28.093
HND,2014,25.631
HND,2015,26.77
HND,2016,24.807
HND,2017,22.79
HND,2018,23.411
HND,2019,22.926
HKG,1990,24.703
HKG,1995,24.09
HKG,2000,25.402
HKG,2005,27.231
HKG,2010,25.275
HKG,2011,28.782
HKG,2012,28.116
HKG,2013,29.828
HKG,2014,29.255
HKG,2015,26.47
HKG,2016,25.064
HKG,2017,24.498
HKG,2018,24.409
HKG,2019,23.905
IND,1990,71.784
IND,1995,65.32
IND,2000,70.693
IND,2005,70.645
IND,2010,77.477
IND,2011,80.745
IND,2012,87.099
IND,2013,90.102
IND,2014,95.837
IND,2015,88.897
IND,2016,92.546
IND,2017,82.062
IND,2018,83.211
IND,2019,83.304
IDN,1990,26.836
IDN,1995,25.232
IDN,2000,23.763
IDN,2005,22.111
IDN,2010,22.591
IDN,2011,19.19
IDN,2012,20.351
IDN,2013,20.303
IDN,2014,19.147
IDN,2015,20.179
IDN,2016,21.454
IDN,2017,18.857
IDN,2018,19.408
IDN,2019,19.674
IRN,1990,38.421
IRN,1995,38.458
IRN,2000,40.488
IRN,2005,39.413
IRN,2010,42.318
IRN,2011,43.55
IRN,2012,42.519
IRN,2013,42.234
IRN,2014,40.805
IRN,2015,41.948
IRN,2016,40.773
IRN,2017,39.985
IRN,2018,39.596
IRN,2019,39.002
IRQ,1990,55.021
IRQ,1995,49.864
IRQ,2000,52.261
IRQ,2005,52.079
IRQ,2010,58.036
IRQ,2011,54.817
IRQ,2012,54.438
IRQ,2013,52.522
IRQ,2014,48.642
IRQ,2015,54.237
IRQ,2016,51.208
IRQ,2017,51.089
IRQ,2018,50.286
IRQ,2019,49.617
ISR,1990,21.05
ISR,1995,23.258
ISR,2000,23.156
ISR,2005,22.976
ISR,2010,24.737
ISR,2011,24.506
ISR,2012,22.15
ISR,2013,22.716
ISR,2014,21.538
ISR,2015,22.251
ISR,2016,18.628
ISR,2017,19.904
ISR,2018,19.736
ISR,2019,19.424
JAM,1990,13.678
JAM,1995,13.224
JAM,2000,15.883
JAM,2005,16.345
JAM,2010,15.825
JAM,2011,14.975
JAM,2012,15.724
JAM,2013,15.854
JAM,2014,16.45
JAM,2015,16.685
JAM,2016,16.324
JAM,2017,16.374
JAM,2018,16.324
JAM,2019,16.245
JOR,1990,27.763
JOR,1995,30.525
JOR,2000,28.821
JOR,2005,32.871
JOR,2010,35.408
JOR,2011,33.298
JOR,2012,32.78
JOR,2013,35.092
JOR,2014,33.544
JOR,2015,34.973
JOR,2016,31.645
JOR,2017,32.028
JOR,2018,30.962
JOR,2019,30.13
KAZ,1990,21.73
